Provinsi,Tahun,Persentase_Penduduk_Miskin,IPM,Rata_Rata_Lama_Sekolah,IPM_Norm,RLS_Norm,Prediksi_Kemiskinan_AI,Score_Poverty,Score_IPM_Inv,Score_RLS_Inv,Skor_Prioritas_Bansos
PAPUA,2019,27.53,60.84,6.65,0.2501685772083613,0.3351648351648352,27.313000000000038,0.8155932203389831,0.7498314227916387,0.6648351648351648,0.7657130699740161
PAPUA,2020,26.64,60.44,6.69,0.23668240053944678,0.34065934065934067,26.937000000000022,0.7854237288135593,0.7633175994605532,0.6593406593406593,0.7535752761130774
PAPUA,2021,26.86,60.62,6.76,0.24275118004045848,0.35027472527472514,26.913600000000017,0.7928813559322033,0.7572488199595415,0.6497252747252749,0.7535603788990191
PAPUA,2022,26.56,71.76,7.02,0.6183412002697237,0.38598901098901084,23.29659999999997,0.7827118644067795,0.3816587997302763,0.6140109890109892,0.6286557699246704
PAPUA,2023,26.03,72.41,7.15,0.6402562373567091,0.40384615384615385,20.473099999999985,0.7647457627118645,0.3597437626432909,0.5961538461538461,0.6095267793796887
PAPUA,2024,17.26,73.0,9.82,0.6601483479433579,0.7706043956043955,14.160799999999997,0.46745762711864414,0.33985165205664214,0.22939560439560447,0.3815634300554356
PAPUA BARAT,2019,22.17,64.7,7.44,0.3803101820633852,0.44368131868131866,21.801300000000005,0.6338983050847458,0.6196898179366148,0.5563186813186813,0.6141198341870936
PAPUA BARAT,2020,21.37,65.09,7.6,0.3934592043155767,0.46565934065934056,21.285299999999964,0.6067796610169491,0.6065407956844233,0.5343406593406594,0.5922202010819335
PAPUA BARAT,2021,21.84,65.26,7.69,0.3991908293998654,0.4780219780219781,21.440899999999974,0.6227118644067796,0.6008091706001346,0.5219780219780219,0.5959942877790345
PAPUA BARAT,2022,21.33,65.16,7.84,0.3958192852326363,0.49862637362637363,20.15339999999998,0.6054237288135592,0.6041807147673637,0.5013736263736264,0.584240804111714
PAPUA BARAT,2023,20.49,66.16,7.93,0.4295347269049221,0.510989010989011,16.65539999999999,0.5769491525423728,0.5704652730950779,0.48901098901098905,0.5574163560019075
PAPUA BARAT,2024,21.66,67.02,7.86,0.4585300067430882,0.5013736263736264,19.714800000000025,0.6166101694915254,0.5414699932569118,0.49862637362637363,0.570471357448111
PAPUA BARAT DAYA,2024,18.13,68.63,8.39,0.5128118678354683,0.5741758241758241,16.56330000000003,0.4969491525423728,0.4871881321645317,0.42582417582417587,0.47979585108538114
PAPUA PEGUNUNGAN,2024,32.97,53.42,4.21,0.0,0.0,30.92159999999998,1.0,1.0,1.0,1.0
PAPUA SELATAN,2024,17.44,67.9,8.38,0.48819959541470026,0.5728021978021978,16.064100000000032,0.4735593220338983,0.5118004045852997,0.42719780219780223,0.47575934283209953
PAPUA TENGAH,2024,29.76,59.75,6.12,0.21341874578556985,0.2623626373626373,28.43940000000003,0.8911864406779662,0.7865812542144301,0.7376373626373627,0.8290950691307847
RIAU,2019,7.08,73.0,9.03,0.6601483479433579,0.662087912087912,8.017800000000006,0.12237288135593219,0.33985165205664214,0.33791208791208804,0.23072435387737633
RIAU,2020,6.82,72.71,9.14,0.650370869858395,0.6771978021978022,7.401900000000007,0.11355932203389832,0.349629130141605,0.32280219780219777,0.22622883961987023
